t,simple,gptfuzz,ours,flip,pair,or_bench
0,0.9,0.8,0.15,0.05,0.18333333333333332,0.98
10,0.95,0.85,0.15,0.18333333333333332,0.23333333333333334,0.9966666666666667
20,0.9166666666666666,0.9,0.25,0.11666666666666667,0.4666666666666667,0.97
40,0.9333333333333333,0.8833333333333333,0.35,0.2833333333333333,0.6166666666666667,0.9566666666666667
80,0.9,0.8833333333333333,0.4166666666666667,0.25,0.6833333333333333,0.9466666666666667
160,0.7833333333333333,0.8,0.4666666666666667,0.4,0.75,0.8966666666666666
