t,simple,gptfuzz,ours,flip,pair,or_bench
0,0.9666666666666667,0.9833333333333333,0.23333333333333334,0.21666666666666667,0.18333333333333332,0.98
10,0.9666666666666667,0.9833333333333333,0.21666666666666667,0.8833333333333333,0.25,0.9966666666666667
20,0.9666666666666667,0.9833333333333333,0.38333333333333336,0.7833333333333333,0.55,0.97
40,0.9666666666666667,0.9666666666666667,0.48333333333333334,0.9666666666666667,0.8333333333333334,0.9566666666666667
80,0.9666666666666667,0.9666666666666667,0.5833333333333334,0.9666666666666667,0.8833333333333333,0.9466666666666667
160,0.9666666666666667,0.9666666666666667,0.7,0.9666666666666667,0.95,0.8966666666666666
320,0.9666666666666667,0.9666666666666667,0.75,0.9666666666666667,0.9666666666666667,0.9466666666666667
